# Staff V2 accepted-Testing → proposed-candidate diff manifest

Comparison: c75b5d31d311bbb15cd0a6590e24cc3d23e53bdf → 94db430d894d1ee0712ae4201e43505138cbcd06
Generated from git diff --name-status --find-renames. This is an audit manifest, not an approval of candidate scope.
Because the Production-compatible baseline is not proven, there is no fabricated chosen-baseline comparison.

Classification counts:

- BUILD CONFIG: 4
- DOC ONLY: 153
- MIGRATION: 8
- SHARED_DEPENDENCY_REQUIRED: 77
- STAFF_REQUIRED: 107
- TEST ONLY: 78
- UNRELATED / NOT APPROVED: 127

Status	Old path (rename only)	Path	Classification	Reason
M		.env.example	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
M		AGENTS.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_ANDROID_MOBILE_OTP_REQUEST_FAILURE_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_EMPLOYEE_ATTENDANCE_CORRECTION_UNIFIED_READ_MODEL_PHASE1_CLOSURE_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_EMPLOYEE_ATTENDANCE_CORRECTION_UNIFIED_READ_MODEL_PHASE1_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_APPROVAL_CENTER_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_APPROVAL_CENTER_V2_VISUAL_NORMALIZATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_APP_V2_GLOBAL_FINAL_UAT_AND_CLOSURE_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_ATTENDANCE_CORRECTIONS_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_ATTENDANCE_HISTORY_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_CLAIMS_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_COMMISSION_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_HOME_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_LIVE_OT_SELF_REVIEW_ROOT_CAUSE_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_MANAGER_ATTENDANCE_P2_PROJECTION_GAP_CLOSURE_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_OT_SELF_REVIEW_AND_COUNT_FIX_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_PAYSLIPS_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_PAY_HUB_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_PROFILE_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_SCHEDULE_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_TIMESHEET_V2_FINAL_POLISH_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_TIMESHEET_V2_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_TIME_HUB_V2_OWNER_REVIEW_FIX_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		TETAMU_STAFF_TIME_V2_PHASE1_IMPLEMENTATION_REPORT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/claims-v2/claim-detail-approved-awaiting-390.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/claims-v2/claim-detail-paid-390.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/claims-v2/claim-detail-paid-bottom-clearance-390.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/claims-v2/claim-detail-rejected-390.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/claims-v2/claims-landing-360.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/claims-v2/claims-landing-390.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/claims-v2/claims-landing-412.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/claims-v2/new-claim-step1-390.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/claims-v2/new-claim-step2-receipt-390.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/claims-v2/new-claim-step3-review-390.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-corrections-v2/corrections-360-bottom.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-corrections-v2/corrections-360-collapsed.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-corrections-v2/corrections-390-collapsed.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-corrections-v2/corrections-390-expanded-approved.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-corrections-v2/corrections-390-expanded-bottom.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-corrections-v2/corrections-390-local-lifecycle-fixtures.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-corrections-v2/corrections-412-collapsed.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-corrections-v2/local-lifecycle-fixtures.html	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-history-v2/attendance-history-v2-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-history-v2/attendance-history-v2-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-attendance-history-v2/attendance-history-v2-filter-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/added-to-payroll-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/approved-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/awaiting-review-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/empty-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/large-negative-adjustment-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/manager-as-employee-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
