path	source commit	classification	reason	baseline already has it?	release candidate needs it?	runtime impact	migration impact	owner-approved Staff feature
next.config.mjs	baa0f96 narrow file/hunk extraction	BUILD_REQUIRED	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	build/runtime selection	NONE	Shared Staff runtime
package-lock.json	baa0f96 narrow file/hunk extraction	BUILD_REQUIRED	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	build/runtime selection	NONE	Shared Staff runtime
package.json	MANUAL_RECONCILIATION after baa0f96 extraction	BUILD_REQUIRED	Approved Staff V2 content reconciled against c75 baseline contracts/tests	YES	YES (provisional; migration-blocked)	build/runtime selection	NONE	Shared Staff runtime
pnpm-lock.yaml	baa0f96 narrow file/hunk extraction	BUILD_REQUIRED	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	build/runtime selection	NONE	Shared Staff runtime
scripts/chrome-87-compat-loader.cjs	baa0f96 narrow file/hunk extraction	BUILD_REQUIRED	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	build/runtime selection	NONE	Shared Staff runtime
scripts/run-staff-app.mjs	baa0f96 narrow file/hunk extraction	BUILD_REQUIRED	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	build/runtime selection	NONE	Shared Staff runtime
src/app/api/employee-appointments/route.ts	baa0f96 narrow file/hunk extraction	STAFF_SHARED_BACKEND	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	shared Staff read/write path	NONE	Appointments
src/app/api/employee-attendance/corrections/route.ts	baa0f96 narrow file/hunk extraction	STAFF_SHARED_BACKEND	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	shared Staff read/write path	NONE	Attendance / Corrections
src/app/api/employee-attendance/exception/route.ts	baa0f96 narrow file/hunk extraction	STAFF_SHARED_BACKEND	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	shared Staff read/write path	NONE	Attendance / Corrections
src/app/api/employee-auth/avatar/route.ts	baa0f96 narrow file/hunk extraction	STAFF_AUTH	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff auth/session	NONE	Auth / Session
src/app/api/employee-auth/logout/route.ts	baa0f96 narrow file/hunk extraction	STAFF_AUTH	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff auth/session	NONE	Auth / Session
src/app/api/local-uat/session/route.ts	baa0f96 narrow file/hunk extraction	STAFF_TEST	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	test-only	NONE	Shared Staff runtime
src/app/staff/appointments/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Appointments
src/app/staff/appointments/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Appointments
